drug_id,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score,final_rank
1191,-4.840238,-5.1592407,0.5331818,28,1.0,1,Validated,42.0,1
1817,-4.798151,-5.024497,0.4728589,26,1.0,2,Validated,41.0,2
1941,-3.7625906,-3.8589985,0.7562094,28,1.0,3,Validated,40.0,3
1911,-3.1860309,-4.040127,0.8830992,28,1.0,4,Validated,39.0,4
1007,-3.054092,-4.1176643,1.4020625,29,1.0,5,Validated,38.0,5
1004,-2.8170652,-2.7355084,1.1282035,27,1.0,7,Validated,36.0,6
1811,-2.7418,-1.8154681,0.772079,26,1.0,8,Validated,35.0,7
1080,-2.6740625,-2.779678,1.1793438,28,1.0,9,Validated,34.0,8
2048,-2.5985014,-2.7805393,1.1256806,28,1.0,10,Validated,33.0,9
1034,-2.418524,-2.5313642,0.6868416,29,1.0,11,Validated,32.0,10
1494,-2.4131103,-2.6124706,1.0441165,28,1.0,12,Validated,31.0,11
1084,-2.3719487,-2.5873635,0.81832725,28,1.0,13,Validated,30.0,12
1180,-2.2407935,-2.3472707,0.8719439,27,1.0,14,Validated,29.0,13
1248,-2.0104792,-2.4797933,0.9621768,15,1.0,15,Validated,28.0,14
1559,-1.9329301,-2.1197999,0.74030876,28,1.0,16,Validated,27.0,15
